,Degree,Betweenness,Closeness,Eigenvector
IL37,0.014130434782608696,5.910584675036055e-07,0.6216331591907701,0.009735103059005601
TBK1,0.06739130434782609,0.00023701444546894582,0.7434827522378014,0.037350493187375815
DEFB4A,0.016304347826086956,9.45693548005769e-06,0.5860531047494996,0.00933012180180334
PPARA,0.07282608695652174,0.00021135265700483093,0.7196815100007556,0.038349856357295486
HSPD1,0.045108695652173916,0.0002234201007163629,0.6990716819722816,0.020008703206513028
PIK3CG,0.045108695652173916,9.575147173558412e-05,0.7079514936069266,0.031433394036507516
SMAD3,0.1266304347826087,0.0005612100148946734,0.8253346355322289,0.07360884611498612
IKBKB,0.09619565217391304,0.0002588836087665792,0.7991884580895214,0.05890893006001245
ZFP36,0.021739130434782608,1.6549637090100957e-05,0.6279538589222152,0.01070104154059956
PTPN6,0.03315217391304348,2.3642338700144223e-05,0.7000656595398232,0.02084445367268403
RELA,0.13260869565217392,0.00043797432442017165,0.8355053521353496,0.07901252366474383
ADIPOQ,0.07119565217391305,0.00043693997210204037,0.6973600035930272,0.035457052417985975
CD47,0.049456521739130434,9.97903712635254e-05,0.6637229235114254,0.024745041166357923
COL18A1,0.029347826086956522,6.501643142539661e-06,0.6103353083226141,0.013580041330660654
HAVCR1,0.01684782608695652,2.12781048301298e-05,0.5756930116528973,0.009384654914785729
CTSS,0.06576086956521739,0.00028725441520675225,0.657004852007655,0.029705353879478154
AIM2,0.03260869565217391,3.4576920348960924e-05,0.6198848335437527,0.01586830802709577
LILRB1,0.0125,1.2412227817575716e-05,0.5628766401412684,0.005342740798218423
IKBKG,0.06847826086956522,0.0003688204837222498,0.7692305609101882,0.04379465783711461
IRS1,0.08641304347826087,0.0001414107383502376,0.791618358045864,0.05375550917088817
TGFB2,0.058152173913043476,0.00015397073078468926,0.6858620807906814,0.03348649585506118
CGAS,0.03695652173913044,0.0001646097831997542,0.6202659874223516,0.017814100317241517
C3,0.034782608695652174,7.033595763292907e-05,0.6294954064832408,0.01605729235662375
CD36,0.07771739130434782,0.00022696645152138454,0.7105502609208977,0.03881136911145688
NGF,0.07934782608695652,0.00026302101803910455,0.7207139434232441,0.04464742222828092
CD24,0.049456521739130434,7.624654230796514e-05,0.6700265352026742,0.02875553220210978
KIT,0.1,0.00015397073078468926,0.7675027326879679,0.05652825566309142
MTOR,0.1592391304347826,0.0014319869021443606,0.8104720984421465,0.07980259960635394
CAMP,0.029891304347826088,1.8913870960115376e-05,0.6769560231218759,0.018718952243374082
FGF7,0.08097826086956522,0.00015406924052927318,0.7150337999463542,0.046497951398433865
CASP8,0.11630434782608695,0.0004122632810837649,0.7938884015337723,0.0669859364867588
TNFSF11,0.06793478260869565,0.0002773541858760669,0.7016565510562124,0.03975137773574615
TNFSF10,0.051086956521739134,4.6989148166536644e-05,0.6673435155882005,0.028391758024705123
FN1,0.15543478260869564,0.0006655318344090597,0.8398950274408562,0.08017681148996789
SLC11A1,0.014130434782608696,7.506442537295791e-05,0.5208411713741693,0.0054521817372642205
ERBB2,0.15217391304347827,0.0012455079556469727,0.8322304163719063,0.07972113269059822
CCN2,0.07282608695652174,0.00016845166323852762,0.7137509394613024,0.04071826250062572
MAPK8,0.10543478260869565,0.0003363122680095515,0.8127485194376629,0.06423672003126117
MYC,0.2516304347826087,0.0029795257346856754,0.901546235834191,0.11435545481239329
HIF1A,0.21141304347826087,0.002654295812941817,0.8723646358620878,0.10182323079886285
NLRP3,0.07119565217391305,0.00019830011584745969,0.722846163263976,0.03831487959237632
IL1RN,0.042934782608695654,8.836324089178904e-05,0.6335948704083626,0.022405643787207816
LEP,0.09021739130434783,0.0005673176190588773,0.7482754568681627,0.046519260264080285
PPARG,0.14673913043478262,0.0009816003499066128,0.8222890931498528,0.07619569041660014
HLA-B,0.01956521739130435,1.2116698583823913e-05,0.615223106024875,0.00981417808366242
LGALS9,0.027717391304347826,7.654207154171693e-05,0.594350312007197,0.013092692608150186
ISG15,0.0483695652173913,0.00010402629028063455,0.6672268560551519,0.023831384790582232
ENTPD1,0.03152173913043478,4.107856349150059e-05,0.5810659345674692,0.014474836280151547
CX3CR1,0.0483695652173913,5.733267134784974e-05,0.6438406438873374,0.02611691789478894
DDX58,0.06521739130434782,0.00014658249994089416,0.7041602119945747,0.035150196315253374
FAS,0.06141304347826087,0.0001170295765657139,0.7251611025295713,0.03393854749367023
CD34,0.0983695652173913,0.0004033974040712108,0.7320540070831189,0.05127351439513138
FLT3,0.0641304347826087,7.979289311298674e-05,0.7083966328860123,0.037198127467391456
IRF4,0.06086956521739131,0.0001465824999408942,0.6912065489235077,0.033702947012170706
